Participant,experience,evidence_sequence
2.0,Control,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
2.0,Control,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
2.0,Control,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
2.0,Control,"['no', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes', 'no', 'no']"
2.0,Control,"['yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
2.0,Control,"['yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no']"
2.0,Control,"['no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['yes', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'no']"
2.0,Control,"['no', 'no', 'yes', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no']"
2.0,Control,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
2.0,Control,"['yes', 'no', 'no', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes']"
2.0,Control,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
2.0,Control,"['yes', 'no', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'no', 'no']"
2.0,Control,"['yes', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes']"
2.0,Control,"['yes', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'yes', 'no']"
2.0,Control,"['yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
2.0,Control,"['yes', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'yes']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes']"
2.0,Control,"['yes', 'no', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'no']"
2.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes']"
2.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes']"
2.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
2.0,Control,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no']"
2.0,Control,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
2.0,Control,"['yes', 'no', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'no', 'yes']"
