,Unnamed: 0,Image,Scene,ROI,Participant,FixDur,FixNr,Start,End,X,Y,Name,NextROI,experience,X1,Y1,Distance
0,0,1,1,0,2.0,103.0,1.0,7.0,109.0,510.9,381.0,Back_wall,Bottle_on_table,Control,0.0,0.0,0.0
1,1,1,1,22,2.0,77.0,2.0,236.0,312.0,450.8,307.0,Bottle_on_table,Floor,Control,510.9,381.0,95.33
2,2,1,1,9,2.0,300.0,3.0,347.0,646.0,414.5,447.9,Floor,Body,Control,450.8,307.0,145.5
3,3,1,1,8,2.0,165.0,4.0,687.0,851.0,468.6,619.1,Body,Elsewhere,Control,414.5,447.9,179.54
4,4,1,1,0,2.0,461.0,5.0,876.0,1336.0,465.4,687.9,Floor,Elsewhere,Control,468.6,619.1,68.87
5,5,1,1,0,2.0,276.0,6.0,1386.0,1661.0,394.4,414.5,Floor,Elsewhere,Control,465.4,687.9,282.47
6,6,1,1,0,2.0,296.0,7.0,1711.0,2006.0,655.3,416.2,Side_wall,Elsewhere,Control,394.4,414.5,260.91
7,7,1,1,0,2.0,147.0,8.0,2056.0,2202.0,500.4,716.1,Floor,Elsewhere,Control,655.3,416.2,337.54
8,8,1,1,0,2.0,448.0,9.0,2222.0,2669.0,475.9,698.5,Floor,Body,Control,500.4,716.1,30.17
9,9,1,1,8,2.0,500.0,10.0,2719.0,3218.0,228.4,581.4,Body,Body,Control,475.9,698.5,273.8
10,10,1,1,8,2.0,165.0,11.0,3229.0,3393.0,249.1,576.2,Body,Wooden_wall,Control,228.4,581.4,21.34
11,11,1,1,7,2.0,305.0,12.0,3438.0,3742.0,191.7,362.3,Wooden_wall,Windows,Control,249.1,576.2,221.47
12,12,1,1,17,2.0,366.0,13.0,3791.0,4156.0,354.9,223.8,Windows,Curtains,Control,191.7,362.3,214.05
13,13,1,1,15,2.0,170.0,14.0,4180.0,4349.0,315.3,235.5,Curtains,Body,Control,354.9,223.8,41.29
14,14,1,1,8,2.0,173.0,15.0,4404.0,4576.0,450.9,583.1,Body,Elsewhere,Control,315.3,235.5,373.11
15,15,1,1,0,2.0,154.0,16.0,4604.0,4757.0,474.4,664.8,Floor,Floor,Control,450.9,583.1,85.01
16,16,1,1,9,2.0,414.0,17.0,4810.0,5223.0,676.4,472.8,Floor,Side_wall,Control,474.4,664.8,278.69
17,17,1,1,29,2.0,241.0,18.0,5265.0,5505.0,742.0,317.0,Side_wall,Elsewhere,Control,676.4,472.8,169.05
18,18,1,1,0,2.0,224.0,19.0,5563.0,5786.0,766.2,671.8,Floor,Side_wall,Control,742.0,317.0,355.62
19,19,1,1,29,2.0,231.0,20.0,5929.0,6159.0,732.6,299.3,Side_wall,Elsewhere,Control,766.2,671.8,374.01
20,20,1,1,0,2.0,148.0,21.0,6315.0,6462.0,395.9,313.8,Windows,Back_chair,Control,732.6,299.3,337.01
21,21,1,1,23,2.0,357.0,22.0,6488.0,6844.0,433.9,368.4,Back_chair,Windows,Control,395.9,313.8,66.52
22,22,1,1,17,2.0,275.0,23.0,6863.0,7137.0,397.7,362.1,Windows,Body,Control,433.9,368.4,36.74
23,23,1,1,8,2.0,278.0,24.0,7173.0,7450.0,373.6,511.5,Body,Body,Control,397.7,362.1,151.33
24,24,1,1,8,2.0,197.0,25.0,7463.0,7659.0,360.2,530.7,Body,Elsewhere,Control,373.6,511.5,23.41
25,25,1,1,0,2.0,345.0,26.0,7702.0,8046.0,487.6,733.4,Floor,Elsewhere,Control,360.2,530.7,239.41
26,26,1,1,0,2.0,530.0,27.0,8097.0,8626.0,223.5,707.9,Floor,Elsewhere,Control,487.6,733.4,265.33
27,27,1,1,0,2.0,203.0,28.0,8676.0,8878.0,485.6,667.5,Floor,Elsewhere,Control,223.5,707.9,265.2
