Participant,roi_sequence,experience
2.0,"0,22,9,8,0,0,0,0,0,8",Control
2.0,"8,7,17,15,8,0,9,0,23,17",Control
2.0,"8,8,0,0,0,0,0,0,0,12",Control
2.0,"0,13,29,12,29,21,0,13,12,15",Control
2.0,"5,7,2,2,9,8,8,8,8,0",Control
2.0,"8,0,9,8,0,9,9,9,0,0",Control
2.0,"2,0,19,18,17,17,17,17,17,17",Control
2.0,"17,9,0,23,8,9,9,0,31,0",Control
2.0,"9,12,13,13,13,13,0,12,5,5",Control
2.0,"5,7,2,2,9,9,8,8,9,9",Control
2.0,"9,9,8,8,8,0,23,0,9,9",Control
2.0,"0,0,9,0,0,9,19,0,18,0",Control
2.0,"18,9,8,9,8,8,8,8,9,9",Control
2.0,"19,23,18,9,9,0,18,23,18,19",Control
2.0,"18,0,9,0,0,9,17,0,9,7",Control
2.0,"7,8,9,9,9,9,9,29,9,9",Control
2.0,"9,9,9,9,0,19,0,0,30,0",Control
2.0,"9,12,15,13,0,21,13,13,13,13",Control
2.0,"13,12,0,5,5,6,12,15,17,5",Control
2.0,"5,0,2,7,9,9,9,0,9,8",Control
2.0,"9,18,18,0,0,15,9,9,0,9",Control
2.0,"9,9,0,0,0,0,9,8,8,9",Control
2.0,"9,7,9,0,9,9,9,0,0,0",Control
2.0,"0,9,0,9,0,8,8,26,9,0",Control
2.0,"0,0,0,0,0,2,2,2,2,5",Control
2.0,"13,5,7,7,9,9,9,9,9,7",Control
2.0,"9,9,3,5,7,9,9,8,8,9",Control
2.0,"9,8,9,7,7,7,12,12,13,5",Control
2.0,"5,4,12,7,5,12,17,0,21,18",Control
2.0,"11,11,19,9,12,19,17,0,17,17",Control
2.0,"15,18,9,9,0,9,9,0,9,9",Control
2.0,"0,19,9,0,19,9,19,0,9,9",Control
2.0,"0,18,0,0,18,18,9,19,9,12",Control
2.0,"0,13,29,29,9,9,9,9,26,9",Control
2.0,"9,9,9,31,9,9,9,9,9,9",Control
2.0,"8,7,2,9,7,2,5,12,13,13",Control
2.0,"13,8,0,0,2,0,0,0,0,9",Control
2.0,"8,2,6,3,1,1,8,4,4,2",Control
2.0,"9,4,6,4,4,10,11,12,2,23",Control
2.0,"33,22,33,33,0,0,12,12,12,12",Control
2.0,"12,11,14,14,24,30,26,25,25,17",Control
2.0,"8,8,8,8,8,8,3,1,1,4",Control
2.0,"6,2,4,2,4,4,8,4,8,8",Control
2.0,"4,4,2,4,2,9,9,10,0,11",Control
2.0,"14,0,15,15,0,16,18,0,15,0",Control
2.0,"12,0,12,12,12,12,12,13,12,12",Control
2.0,"11,11,22,33,24,24,24,24,24,24",Control
2.0,"8,0,0,0,18,16,0,0,22,12",Control
2.0,"2,5,2,2,2,2,3,19,0,10",Control
2.0,"11,0,0,18,18,0,10,10,11,0",Control
2.0,"20,13,21,20,21,16,22,0,18,10",Control
2.0,"11,11,10,19,20,21,0,0,21,20",Control
2.0,"15,15,15,12,12,22,22,23,24,24",Control
2.0,"23,4,9,9,24,32,31,26,25,25",Control
2.0,"24,17,17,0,8,17,8,3,1,3",Control
2.0,"3,3,4,4,4,4,8,4,4,2",Control
2.0,"2,2,12,12,11,10,10,0,0,16",Control
2.0,"0,0,10,0,10,10,2,10,0,19",Control
2.0,"18,0,0,12,12,12,12,12,20,15",Control
2.0,"0,0,18,10,10,18,0,18,10,11",Control
2.0,"11,12,12,22,22,0,21,0,24,23",Control
2.0,"22,23,24,24,25,17,8,8,24,24",Control
2.0,"8,8,17,3,1,2,2,2,4,4",Control
2.0,"4,4,4,2,2,12,12,12,10,15",Control
2.0,"20,0,0,10,4,2,3,3,3,3",Control
2.0,"11,12,3,3,1,1,3,3,5,4",Control
2.0,"10,4,4,3,3,9,21,19,19,16",Control
2.0,"12,12,1,1,19,18,1,3,2,3",Control
2.0,"3,4,3,0,4,4,4,4,4,2",Control
2.0,"3,3,3,2,2,3,3,6,12,11",Control
2.0,"11,11,11,11,9,10,10,21,9,9",Control
2.0,"9,11,19,18,19,19,19,18,19,19",Control
2.0,"11,17,11,15,16,12,12,14,14,1",Control
2.0,"13,6,6,3,1,3,3,3,1,1",Control
2.0,"1,1,0,3,3,3,3,3,3,2",Control
2.0,"3,3,3,3,3,3,3,3,3,3",Control
2.0,"4,4,4,5,5,5,2,6,6,1",Control
2.0,"15,1,0,1,11,18,21,21,21,21",Control
2.0,"21,9,9,9,4,9,0,4,4,4",Control
2.0,"4,3,5,5,4,4,4,4,4,4",Control
2.0,"2,4,4,4,4,4,5,2,2,6",Control
2.0,"6,6,6,6,1,11,16,11,19,18",Control
2.0,"15,0,0,1,1,20,1,1,1,1",Control
2.0,"2,3,2,4,4,4,4,4,4,4",Control
2.0,"4,5,5,3,2,2,3,6,3,2",Control
2.0,"3,3,2,2,3,3,6,6,3,3",Control
2.0,"1,1,3,12,7,14,12,14,12,7",Control
2.0,"0,6,6,5,2,2,2,2,4,4",Control
2.0,"4,4,4,4,4,4,4,5,5,5",Control
2.0,"5,4,4,4,9,4,4,4,4,4",Control
2.0,"4,4,4,4,4,4,4,4,4,11",Control
2.0,"9,9,9,9,10,10,21,10,11,11",Control
2.0,"9,9,9,10,1,19,15,11,17,16",Control
2.0,"1,1,0,12,16,19,1,1,1,16",Control
2.0,"15,12,15,16,12,11,12,1,1,11",Control
2.0,"1,11,19,19,11,16,21,1,1,1",Control
2.0,"5,7,6,12,5,11,11,14,1,0",Control
2.0,"1,1,21,21,10,21,10,9,10,10",Control
2.0,"21,21,10,10,9,9,9,4,10,9",Control
2.0,"3,1,1,1,1,1,1,3,6,3",Control
2.0,"5,2,3,3,3,3,5,3,3,3",Control
2.0,"3,3,3,3,3,3,1,3,3,3",Control
2.0,"2,5,2,2,2,3,6,6,1,1",Control
2.0,"1,1,1,1,1,19,19,18,19,19",Control
2.0,"19,19,19,19,17,11,16,16,0,16",Control
2.0,"16,11,19,11,19,11,11,11,11,11",Control
2.0,"11,11,12,1,1,1,13,1,2,4",Control
2.0,"4,2,14,9,14,9,9,12,0,5",Control
2.0,"5,5,6,0,11,12,12,4,9,4",Control
2.0,"17,17,9,9,9,9,9,9,9,9",Control
2.0,"10,10,15,13,14,7,15,7,7,8",Control
2.0,"5,4,4,4,2,3,3,9,9,9",Control
2.0,"9,9,9,9,9,9,9,9,9,9",Control
2.0,"9,9,14,14,11,13,13,14,14,4",Control
2.0,"9,11,12,12,14,16,9,9,16,16",Control
2.0,"16,16,9,16,4,0,4,4,4,4",Control
2.0,"12,4,12,12,4,12,4,12,12,12",Control
2.0,"4,5,11,11,11,11,11,9,8,9",Control
2.0,"5,6,6,5,5,4,4,4,4,4",Control
2.0,"4,7,8,8,10,10,15,9,7,5",Control
2.0,"5,4,5,5,6,12,17,17,17,17",Control
2.0,"17,9,9,21,21,20,19,20,19,20",Control
2.0,"20,20,4,4,4,4,0,0,9,9",Control
2.0,"9,9,9,9,7,10,10,10,10,10",Control
2.0,"9,10,10,10,10,13,11,11,5,8",Control
2.0,"6,5,9,12,5,6,5,14,9,14",Control
2.0,"14,14,14,4,14,17,17,17,17,17",Control
2.0,"17,17,9,9,9,9,9,20,20,20",Control
2.0,"20,21,21,20,4,4,18,2,3,3",Control
2.0,"9,9,9,9,7,5,5,5,9,11",Control
2.0,"12,3,11,13,8,3,3,3,3,6",Control
2.0,"3,6,9,10,3,3,3,3,3,3",Control
2.0,"3,6,6,3,3,3,3,3,3,19",Control
2.0,"9,14,15,3,19,19,19,19,1,19",Control
2.0,"19,19,9,3,3,9,15,2,2,8",Control
2.0,"8,3,8,8,8,9,8,3,6,6",Control
2.0,"8,8,13,7,7,8,2,14,0,13",Control
2.0,"13,18,2,2,2,4,2,8,10,10",Control
2.0,"11,14,10,2,10,11,12,13,13,12",Control
2.0,"12,13,2,12,13,18,18,2,2,1",Control
2.0,"1,1,2,2,2,2,3,3,6,1",Control
2.0,"3,3,3,3,3,3,3,19,19,19",Control
2.0,"19,19,2,2,2,19,2,18,18,18",Control
2.0,"18,18,13,13,3,9,3,0,8,2",Control
2.0,"12,9,3,2,2,2,3,3,3,3",Control
2.0,"3,3,3,3,3,19,19,19,2,2",Control
2.0,"2,2,2,1,1,3,3,3,3,3",Control
2.0,"3,0,2,2,2,7,13,9,11,18",Control
2.0,"18,2,2,2,2,2,2,19,2,2",Control
2.0,"1,1,3,3,3,3,3,3,3,3",Control
2.0,"3,1,3,0,2,2,8,8,2,13",Control
2.0,"7,5,8,12,13,13,13,12,13,7",Control
2.0,"12,12,13,12,9,4,4,4,4,1",Control
2.0,"5,4,5,7,7,7,7,7,16,19",Control
2.0,"19,15,15,11,11,11,11,11,2,2",Control
2.0,"1,2,2,5,12,13,2,2,13,13",Control
2.0,"12,13,12,7,7,7,7,13,19,17",Control
2.0,"18,15,15,19,19,16,16,7,7,5",Control
2.0,"5,13,5,13,5,5,7,13,5,5",Control
2.0,"7,7,5,7,7,2,8,8,5,9",Control
2.0,"7,5,2,13,12,8,2,2,2,1",Control
2.0,"1,1,1,2,2,2,2,4,4,2",Control
2.0,"7,15,15,15,5,7,15,7,6,7",Control
2.0,"7,7,13,2,11,11,2,2,7,2",Control
2.0,"2,13,2,2,2,2,2,2,2,7",Control
2.0,"0,13,13,0,18,15,15,7,7,7",Control
2.0,"7,13,2,11,11,11,2,2,2,2",Control
2.0,"2,2,2,2,2,10,2,2,2,10",Control
2.0,"2,2,2,2,2,2,2,2,2,7",Control
2.0,"5,4,1,1,1,1,2,4,2,7",Control
4.0,"19,9,0,0,0,0,0,0,0,0",FirstYear
4.0,"8,8,8,8,19,0,7,0,0,0",FirstYear
4.0,"9,9,9,7,21,0,0,9,9,8",FirstYear
4.0,"0,9,9,0,9,23,0,9,9,9",FirstYear
4.0,"23,23,9,9,9,0,9,7,0,9",FirstYear
4.0,"9,0,8,9,9,9,9,9,7,7",FirstYear
4.0,"8,8,8,8,8,8,8,9,9,0",FirstYear
4.0,"27,13,13,8,8,8,8,0,0,0",FirstYear
4.0,"9,0,0,0,8,8,8,10,2,6",FirstYear
4.0,"4,4,3,4,4,4,4,6,4,4",FirstYear
4.0,"3,0,14,19,0,16,14,0,0,20",FirstYear
4.0,"15,0,16,12,0,13,12,12,12,11",FirstYear
4.0,"10,26,29,24,23,23,2,22,33,33",FirstYear
4.0,"33,6,3,1,3,3,3,4,4,2",FirstYear
4.0,"2,2,4,4,4,9,17,29,29,26",FirstYear
4.0,"29,22,0,2,2,2,2,0,12,12",FirstYear
4.0,"11,12,4,5,2,3,3,2,4,4",FirstYear
4.0,"3,3,3,11,2,2,3,3,11,14",FirstYear
4.0,"12,16,19,17,11,9,9,10,4,0",FirstYear
4.0,"3,3,3,14,12,12,12,14,16,16",FirstYear
4.0,"15,11,14,14,14,2,3,3,3,3",FirstYear
4.0,"3,3,2,3,3,3,3,3,3,3",FirstYear
4.0,"17,11,11,1,1,9,9,9,10,10",FirstYear
4.0,"10,4,4,4,4,4,4,4,4,5",FirstYear
4.0,"3,3,3,1,15,13,15,10,7,5",FirstYear
4.0,"5,11,12,12,11,11,16,16,17,17",FirstYear
4.0,"17,17,12,12,13,13,17,17,13,13",FirstYear
4.0,"14,12,12,12,5,5,7,7,10,10",FirstYear
4.0,"10,9,9,9,9,20,9,15,9,16",FirstYear
4.0,"3,3,0,0,7,5,5,6,12,9",FirstYear
4.0,"11,11,3,3,17,17,3,14,11,18",FirstYear
4.0,"20,19,19,19,1,2,5,2,1,3",FirstYear
4.0,"3,8,13,13,3,17,17,3,14,11",FirstYear
4.0,"7,2,13,13,13,2,15,16,8,2",FirstYear
4.0,"2,8,15,0,15,3,17,17,3,6",FirstYear
4.0,"6,6,3,6,6,6,6,3,3,6",FirstYear
4.0,"6,3,6,3,3,3,3,3,3,3",FirstYear
4.0,"3,3,19,19,7,8,8,7,4,2",FirstYear
4.0,"7,5,8,8,8,7,8,15,15,8",FirstYear
4.0,"8,12,8,8,13,15,9,5,8,0",FirstYear
4.0,"2,8,8,8,5,4,2,5,16,19",FirstYear
4.0,"19,11,11,11,11,1,1,4,4,2",FirstYear
4.0,"4,4,7,6,16,19,19,2,16,5",FirstYear
7.0,"0,18,8,0,0,0,0,0,12,7",Control
7.0,"15,2,2,7,9,0,0,9,2,2",Control
7.0,"17,17,17,0,2,0,0,9,9,0",Control
7.0,"0,9,9,9,9,9,9,9,8,8",Control
7.0,"9,8,8,9,8,8,9,7,7,9",Control
7.0,"9,9,0,9,0,9,9,8,9,17",Control
7.0,"0,17,17,15,12,9,8,9,9,8",Control
7.0,"8,8,9,8,9,9,30,0,31,9",Control
7.0,"0,9,9,9,9,7,9,9,9,9",Control
7.0,"9,7,7,2,0,2,0,2,2,0",Control
7.0,"8,8,0,0,9,9,9,7,5,5",Control
7.0,"2,2,2,0,9,23,9,9,9,9",Control
7.0,"9,9,9,0,11,9,9,8,9,17",Control
7.0,"15,15,11,11,11,9,8,9,8,8",Control
7.0,"0,0,0,8,8,9,9,8,10,0",Control
7.0,"10,15,20,12,12,0,2,4,4,4",Control
7.0,"4,0,0,12,11,11,10,0,15,0",Control
7.0,"15,0,0,15,15,15,19,0,0,0",Control
7.0,"16,0,12,16,0,16,12,12,12,12",Control
7.0,"12,12,13,12,20,20,0,20,0,23",Control
7.0,"22,2,2,23,24,23,31,26,26,26",Control
7.0,"24,8,24,4,8,25,24,1,1,1",Control
7.0,"1,1,1,3,3,3,0,4,4,4",Control
7.0,"8,8,4,4,2,4,4,4,4,2",Control
7.0,"8,8,8,8,8,4,1,2,1,1",Control
7.0,"2,4,4,2,12,12,8,8,8,8",Control
7.0,"8,24,25,24,24,26,25,26,26,26",Control
7.0,"29,26,25,25,24,24,23,2,24,24",Control
7.0,"24,24,9,8,8,24,8,8,4,4",Control
7.0,"2,0,16,10,1,1,1,1,8,3",Control
7.0,"3,8,8,8,8,24,24,30,32,29",Control
7.0,"0,25,29,25,25,25,29,29,25,25",Control
7.0,"25,29,29,29,29,26,0,29,24,8",Control
7.0,"8,11,0,10,0,11,10,2,0,0",Control
7.0,"0,19,19,0,0,23,2,15,0,0",Control
7.0,"12,0,4,3,3,3,3,3,4,4",Control
7.0,"4,2,5,4,4,4,5,4,4,4",Control
7.0,"13,3,3,3,1,4,4,4,4,12",Control
7.0,"13,1,12,12,1,12,12,13,1,12",Control
